raw_venue_string,canonical_venue,altitude_m,altitude_source,confidence,notes
"Sarkkiranta, Kempele (FIN)","Sarkkiranta, Kempele",10,llm_gemini_v4,high,Sarkkirannan yleisurheilukenttä is located in a coastal low-lying area of Kempele near the Gulf of Bothnia; topographic data confirms elevation between 8-12 meters.
"Via del lago 81, Lago di Piediluco, Terni (ITA)","Lago di Piediluco, Terni",375,llm_gemini_v4,high,Piediluco is a known venue for rowing and cross-country/athletics events; the lake surface and surrounding sports facilities are situated at a constant elevation of 375m above sea level.
"Ashdown Leisure Centre Track, Poole (GBR)","Ashdown Leisure Centre Track, Poole",52,llm_gemini_v4,high,The track is located in the Canford Heath area of Poole; topographic data for this specific site indicates an elevation of approximately 52m above sea level.
"Stadion OSiR, Racibórz (POL)","Stadion OSiR, Raciborz",185,llm_gemini_v4,high,The OSiR stadium in Raciborz is located in the Oder river valley; topographic maps and local geodata place the track surface at approximately 185m above sea level.
"Schloß, Bad Bergzabern (GER)","Schloss, Bad Bergzabern",170,llm_gemini_v4,high,The Schloss (Castle) in Bad Bergzabern is a well-known venue for the annual international pole vault meeting. The town center and castle grounds sit at approximately 170m above sea level.
"Stade Nelson Mandela, Douchy les mines (FRA)","Stade Nelson Mandela, Douchy-les-Mines",35,llm_gemini_v4,high,"The stadium is located in the Nord department of France; topographic data for Douchy-les-Mines indicates an elevation range of 26-80m, with the specific site of the Stade Nelson Mandela situated at approximately 35m."
"Stadion przy ul. Śląskiej, Świdnica (POL)","Stadion Miejski im. Janusza Kusocinskiego, Swidnica",248,llm_gemini_v4,high,The stadium is located at ul. Slaska 35 in Swidnica. Topographic data for this specific site indicates an elevation of approximately 248 meters above sea level.
"Stade Guy Drut, Auxerre (FRA)","Stade Guy Drut, Auxerre",102,llm_gemini_v4,high,The stadium is located in the low-lying Yonne river valley area of Auxerre; topographic data places this specific site at approximately 102m above sea level.
"Hebron Stadium, Dallas, TX (USA)","Hebron Stadium, Carrollton",182,llm_gemini_v4,high,Hebron Stadium is located at Hebron High School in Carrollton (part of the Dallas-Fort Worth metroplex). The site elevation is approximately 182m (597ft) above sea level.
Abelheira (POR),Abelheira,105,llm_gemini_v4,medium,"Abelheira is a common location name in Portugal; in an athletics context, this typically refers to the track in Viana do Castelo. The elevation for this specific coastal area is approximately 105 meters."
"Lewis-Rec Center FH, Romeoville, IL (USA)","Lewis University Recreation Center Fieldhouse, Romeoville",192,llm_gemini_v4,high,"The venue is the Neil Carey Arena/Fieldhouse at Lewis University. Romeoville, Illinois sits at an average elevation of 190-195m; USGS topographic data for the Lewis University campus confirms 192m."
"Campo Comunale, Cosenza (ITA)","Campo Comunale, Cosenza",240,llm_gemini_v4,high,"The Campo Scuola (Campo Comunale) in Cosenza is located in the valley area of the city, which sits at an elevation of approximately 240m above sea level."
"On-x Linwood, Linwood (GBR)","On-X Linwood, Linwood",15,llm_gemini_v4,high,"The On-X Linwood Sports Centre is located in a low-lying area of Renfrewshire, Scotland; topographic data for the specific site indicates an elevation of approximately 15 metres."
"Hutsell-Rosen Track, Auburn, AL (USA)","Hutsell-Rosen Track, Auburn",195,llm_gemini_v4,high,The Hutsell-Rosen Track is located on the Auburn University campus; topographic data for the facility site indicates an elevation of approximately 195 meters (640 feet).
"Stermole Track & Field Complex, Golden, CO (USA)","Stermole Track and Field Complex, Golden",1730,llm_gemini_v4,high,"Located at the Colorado School of Mines campus in Golden, CO; specific facility elevation is approximately 5,675 feet."
"Hughes Stadium, Morgan St. Univ., Baltimore, MD (USA)","Hughes Stadium, Morgan State University, Baltimore",38,llm_gemini_v4,high,Hughes Stadium is located on the Morgan State University campus in Northeast Baltimore; topographic maps place the stadium floor at approximately 125 feet (38 meters) above sea level.
"Mannie Ramjohn Stadium, Marabella (TTO)","Mannie Ramjohn Stadium, Marabella",12,llm_gemini_v4,high,"Located in the coastal Marabella district of San Fernando, Trinidad; stadium elevation is approximately 12m above sea level."
"Pista Atletismo Cartagena, Cartagena (ESP)","Pista de Atletismo de Cartagena, Cartagena",12,llm_gemini_v4,high,"The venue is the Pista Municipal de Atletismo de Cartagena, located in the Ensanche area near the coast. Topographic data places this specific site at approximately 12 meters above sea level."
Koltsovo (RUS),Koltsovo,165,llm_gemini_v4,high,Koltsovo is a science town (naukograd) in the Novosibirsk region. The local stadium and surrounding infrastructure sit at an average elevation of approximately 165 meters above sea level.
"Mountain Lion Fieldhouse, Colorado Springs, CO (USA)","Mountain Lion Fieldhouse, Colorado Springs",1933,llm_gemini_v4,high,"The venue is located on the UCCS campus; official university data and topographic maps place the facility at approximately 6,342 feet."
"Olimpiets, Odesa (UKR)","Olimpiets, Odesa",45,llm_gemini_v4,high,"Olimpiets is a well-known indoor athletics arena in Odesa. The venue is located in the Shevchenko Park area near the coast, with a ground elevation of approximately 45 metres above sea level."
"Thompson Arena, London (CAN)","Thompson Arena, London",251,llm_gemini_v4,high,"Located at Western University in London, Ontario. The arena floor sits at approximately 251m above sea level based on local topographic data."
"Školní stadion RG a ZŠ Otto Wichterleho, Prostejov (CZE)","Skolni stadion RG a ZS Otto Wichterleho, Prostejov",225,llm_gemini_v4,high,"The stadium is located in Prostejov, Czech Republic. Topographic data for the specific site on Studentska street indicates an elevation of approximately 225 meters above sea level."
"Enztalstadion, Niefern-Öschelbronn (GER)","Enztalstadion, Niefern-Oschelbronn",238,llm_gemini_v4,high,The Enztalstadion is located in the Enz river valley in Niefern; topographic maps and local municipal data place this specific sports area at approximately 238m above sea level.
"Piazza Marcello d'Olivo, Lignano Sabbiadoro (ITA)","Piazza Marcello d'Olivo, Lignano Sabbiadoro",2,llm_gemini_v4,high,This is a coastal public square located directly on the Adriatic seafront; topographic data for this specific plaza indicates an elevation of approximately 2 meters above sea level.
"Lugnet, Falun (SWE)","Lugnet, Falun",155,llm_gemini_v4,high,"The Lugnet sports complex in Falun is situated at approximately 155m above sea level, slightly elevated from the city center."
Lagoa (POR),Lagoa,25,llm_gemini_v4,high,Lagoa in the Algarve region of Portugal is a coastal municipality; the municipal stadium and central areas sit at approximately 25m above sea level.
"Olympic Park Warm Up Arena, Sydney (AUS)","Olympic Park Warm Up Arena, Sydney",12,llm_gemini_v4,high,"The Sydney Olympic Park precinct, specifically the athletic warm-up arena adjacent to the main stadium, is situated at an elevation of approximately 12 metres above sea level."
"Seibu Ryokuchi Park Athletics Stadium, Kanazawa (JPN)","Seibu Ryokuchi Park Athletics Stadium, Kanazawa",10,llm_gemini_v4,high,The stadium is located in the coastal plain of Kanazawa near the Sai River; geospatial data for the specific site indicates an elevation of approximately 10 meters above sea level.
"LA-Anlage Tivoli Innsbruck, Innsbruck (AUT)","LA-Anlage Tivoli, Innsbruck",574,llm_gemini_v4,high,The Leichtathletik-Anlage (LA-Anlage) is part of the Tivoli-Neu sports complex in Innsbruck. Official topographic data for the stadium area places it at approximately 574m above sea level.
"Stade de Champel, Genève (SUI)","Stade de Champel, Geneva",395,llm_gemini_v4,high,The stadium is located in the Champel district of Geneva; topographic maps of the area show an elevation of approximately 395m above sea level.
"Christian Brothers HS, Memphis, TN (USA)","Christian Brothers High School, Memphis",88,llm_gemini_v4,high,The Tom Nix Stadium at Christian Brothers High School in Memphis is situated at an elevation of approximately 88 meters (289 feet) above sea level.
"Jonas Lopez Clark Athletics Track, Fajardo (PUR)","Jonas Lopez Clark Athletics Track, Fajardo",12,llm_gemini_v4,high,"The Pista Atlética Jonás López Clark is located in the Complejo Deportivo Hipólito Robles in Fajardo, situated in a coastal area approximately 12 meters above sea level."
"Jesse H. Colley Track/Soccer Complex, Troy, AL (USA)","Jesse H. Colley Track and Soccer Complex, Troy",158,llm_gemini_v4,high,The venue is located on the campus of Troy University; topographic maps and USGS data for this specific site indicate an elevation of approximately 158 meters (518 feet).
Rabat (MAR),"Prince Moulay Abdellah Stadium, Rabat",53,llm_gemini_v4,high,"The primary athletics venue in Rabat is the Prince Moulay Abdellah Stadium, located at an elevation of approximately 53m above sea level."
"Stadium Tušani, Tuzla (BIH)","Stadion Tusanj, Tuzla",231,llm_gemini_v4,high,The stadium is located in the central part of Tuzla; topographic data and local surveys place the pitch elevation at approximately 231 meters above sea level.
"Minneapolis, MN (USA)",Minneapolis,250,llm_gemini_v4,high,"General city elevation for Minneapolis, typically centered around the University of Minnesota track facilities or US Bank Stadium area."
Århus (DEN),"Ceres Park, Aarhus",15,llm_gemini_v4,high,"Ceres Park (Aarhus Stadion) is the primary athletics venue in Aarhus, located at approximately 15m above sea level near the Marselisborg forests."
Lille (FRA),"Stadium Lille Metropole, Lille",29,llm_gemini_v4,high,"The primary athletics venue in Lille is the Stadium Lille Metropole (Villeneuve-d'Ascq), situated at approximately 29m above sea level."
Novi Sad (SRB),Novi Sad,80,llm_gemini_v4,high,"The primary athletics venue in Novi Sad is Karadjordje Stadium, situated at approximately 80m above sea level in the Pannonian Plain."
Saipan (NMI),"Oleai Sports Complex, Saipan",3,llm_gemini_v4,high,"The primary athletics venue in Saipan is the Oleai Sports Complex (also known as the Marianas High School track), which is located at sea level on the western coastal plain."
"Blacksburg, VA (USA)","Rector Field House, Blacksburg",634,llm_gemini_v4,high,"Blacksburg is home to Virginia Tech's Rector Field House. The town elevation is approximately 634m (2,080 ft) above sea level."
"Scandinavium, Göteborg (SWE)","Scandinavium, Gothenburg",5,llm_gemini_v4,high,"The venue is located in the Heden district of Gothenburg, which sits at a low coastal elevation of approximately 5 meters above sea level."
Maisons-Laffitte (FRA),Maisons-Laffitte,35,llm_gemini_v4,high,Maisons-Laffitte is a commune in the Yvelines department; the local athletics facilities (Stade de l'Ile de la Commune) are situated near the Seine at an elevation of approximately 35m.
"Hampden Park, Glasgow (GBR)","Hampden Park, Glasgow",41,llm_gemini_v4,high,Hampden Park is located in the Mount Florida area of Glasgow; topographic data indicates the stadium floor sits at approximately 41m above sea level.
"Ergo Arena, Sopot (POL)","Ergo Arena, Sopot",5,llm_gemini_v4,high,"The arena is located on the border of Sopot and Gdansk, situated on a coastal plain approximately 1km from the Baltic Sea at an elevation of roughly 5 meters."
Zele (BEL),Zele,5,llm_gemini_v4,high,"The primary athletics venue in Zele is the Ter Elst sports complex. Zele is located in the low-lying East Flanders region of Belgium, with the track sitting at approximately 5 meters above sea level."
St. Croix (ISV),St. Croix,10,llm_gemini_v4,medium,"Refers to the island of St. Croix in the US Virgin Islands. Major athletics facilities like the Educational Complex Track are located in low-lying coastal areas, typically around 10m above sea level."
Eberstadt (GER),Eberstadt,185,llm_gemini_v4,high,Eberstadt is a world-renowned high jump venue (Internationales Hochsprung-Meeting). The competition site is located at approximately 185m above sea level.
Suva (FIJ),"HFC Bank Stadium, Suva",12,llm_gemini_v4,high,"The primary athletics venue in Suva is the HFC Bank Stadium (formerly ANZ Stadium/National Stadium), located near the coast at approximately 12m above sea level."
Patra (GRE),"Pampeloponnisiako Stadio, Patras",65,llm_gemini_v4,high,"The primary athletics venue in Patras is the Pampeloponnisiako Stadium, located at an elevation of approximately 65m above sea level."
Burnaby (CAN),"Swangard Stadium, Burnaby",51,llm_gemini_v4,high,Swangard Stadium is the primary athletics venue in Burnaby; the stadium floor sits at approximately 51m above sea level.
Paralimni (CYP),"Paralimni Municipal Stadium, Paralimni",75,llm_gemini_v4,high,The primary athletics venue in Paralimni is the Tasos Markou Municipal Stadium. The town is situated on a plateau in the Famagusta District with an average elevation of approximately 75m.
Monterrey (MEX),Monterrey,540,llm_gemini_v4,high,"Monterrey's major athletics venues, such as the Estadio Borregos and the UANL track, sit at an average elevation of approximately 540m."
Vinnitsa (UKR),"Central City Stadium, Vinnytsia",248,llm_gemini_v4,high,"The primary athletics venue in Vinnytsia is the Central City Stadium (Tsentralnyi Miskyi Stadion), located at an elevation of approximately 248m above sea level."
Toruń (POL),Arena Torun,50,llm_gemini_v4,high,The primary athletics venue in Torun is the Arena Torun (indoor). The city and venue are located in the Vistula River valley at approximately 50m above sea level.
Arles (FRA),"Stade Fernand Fournier, Arles",10,llm_gemini_v4,high,The primary athletics venue in Arles is the Stade Fernand Fournier. The city is located in the Rhone delta at a very low elevation; the stadium specifically sits at approximately 10m above sea level.
"Sasindra Muthuvel Stadium, Kimbe (PNG)","Sasindra Muthuvel Stadium, Kimbe",5,llm_gemini_v4,high,"The stadium is located in the coastal town of Kimbe, West New Britain, situated less than 500 meters from the shoreline of Kimbe Bay."
Ranchi (IND),"Birsa Munda Athletics Stadium, Ranchi",651,llm_gemini_v4,high,Ranchi is located on the Chota Nagpur Plateau; the primary athletics venue is the Birsa Munda Athletics Stadium situated at approximately 651m above sea level.
"Prefectural Kasamatsu Stadium, Hitachinaka (JPN)","Prefectural Kasamatsu Stadium, Hitachinaka",31,llm_gemini_v4,high,"The stadium is located in the Kasamatsu Sports Park in Hitachinaka, Ibaraki Prefecture, situated on a coastal plateau approximately 31 meters above sea level."
Esbjerg (DEN),"Esbjerg Athletics Stadium, Esbjerg",15,llm_gemini_v4,high,"The primary athletics venue in Esbjerg is the Esbjerg Atletikstadion (Gl. Vardevej), located at an elevation of approximately 15 meters above sea level."
Novi Pazar (SRB),"Gradski Stadion, Novi Pazar",496,llm_gemini_v4,high,"The primary athletics venue in Novi Pazar is the Gradski Stadion (City Stadium), which is situated at an elevation of approximately 496 meters."
Napoli (ITA),"Stadio Diego Armando Maradona, Naples",10,llm_gemini_v4,high,"The primary athletics venue in Naples is the Stadio Diego Armando Maradona (formerly San Paolo), located in the coastal Fuorigrotta district at approximately 10m above sea level."
Jerusalem (ISR),"Givat Ram Stadium, Jerusalem",790,llm_gemini_v4,high,"The primary athletics venue in Jerusalem is the Givat Ram Stadium (Hebrew University Stadium), located at approximately 790m above sea level."
Genève (SUI),"Centre Sportif de Bout-du-Monde, Geneva",375,llm_gemini_v4,high,"The primary athletics venue in Geneva is the Centre Sportif de Bout-du-Monde, located at an elevation of approximately 375m near the Arve river."
"Guam High School Track, Hagåtña (GUM)","Guam High School Track, Hagatna",65,llm_gemini_v4,high,"The Guam High School campus is located on Nimitz Hill, overlooking Agana Bay, at an elevation significantly higher than the coastal city center."
Basel (SUI),"Stadion Rankhof, Basel",260,llm_gemini_v4,high,"The primary athletics venue in Basel is Stadion Rankhof, situated at approximately 260m above sea level near the Rhine."
Jékabpils (LAT),"Jekabpils Stadium, Jekabpils",82,llm_gemini_v4,high,Jekabpils is located in the Daugava River valley; the primary athletics stadium (Jekabpils Sporta Centrs) sits at approximately 82m above sea level.
Maia (POR),"Estadio Municipal de Maia, Maia",105,llm_gemini_v4,high,"The primary athletics venue in Maia is the Estadio Municipal Dr. Jose Vieira de Carvalho, situated at an elevation of approximately 105m."
Breclav (CZE),"Stadion Lokomotiva, Breclav",158,llm_gemini_v4,high,"The primary athletics venue in Breclav is the Stadion Lokomotiva, situated at an elevation of approximately 158m in the low-lying Dyje river basin."
Accra (GHA),"University of Ghana Stadium, Accra",48,llm_gemini_v4,high,"The primary international athletics venue in Accra is the University of Ghana Stadium (Legon), which hosted the 2023 African Games. The stadium is situated at approximately 48m above sea level."
Germiston (RSA),"Germiston Stadium, Germiston",1615,llm_gemini_v4,high,"Germiston Stadium (formerly Herman Immelman Stadium) is the primary athletics venue in Germiston, located on the Highveld at an elevation of approximately 1615m."
Conakry (GUI),"Stade du 28 Septembre, Conakry",13,llm_gemini_v4,high,"The primary athletics venue in Conakry is the Stade du 28 Septembre, located in the Dixinn district near the coast at approximately 13m above sea level."
Jaén (ESP),"Pista de Atletismo Angel Cortes, Jaen",485,llm_gemini_v4,high,"The primary athletics venue in Jaen is the Pista de Atletismo Angel Cortes (La Salobreja), situated at approximately 485m above sea level."
"Rud, Bærum (NOR)","Rud, Baerum",35,llm_gemini_v4,high,Rud is the location of the Bærum Idrettspark (indoor and outdoor athletics facility). The venue is situated at approximately 35m above sea level.
Wellington (NZL),"Newtown Park, Wellington",35,llm_gemini_v4,high,Newtown Park is the primary athletics venue in Wellington; its elevation is approximately 35m above sea level.
"Complexe Sportif Alphonse Massamba-Debat, Brazzaville (CGO)","Complexe Sportif Alphonse Massamba-Debat, Brazzaville",317,llm_gemini_v4,high,The stadium is located in the central district of Brazzaville near the Congo River; topographic data for this specific site consistently indicates an elevation of approximately 317-320 meters.
"André Kamperveen Stadion, Paramaribo (SUR)","Andre Kamperveen Stadion, Paramaribo",3,llm_gemini_v4,high,"The stadium is located in the coastal capital of Paramaribo, Suriname, which sits at a very low elevation near the Suriname River; specific topographic data for the Cultuurtuin area indicates an elevation of approximately 3 meters."
New Taipei City (TPE),New Taipei City,10,llm_gemini_v4,medium,"Refers to the Banqiao District venues (like Banqiao Stadium) typically used for major meets in New Taipei City, situated on the coastal plain."
"Mavuso Sports Centre, Manzini (SWZ)","Mavuso Sports Centre, Manzini",625,llm_gemini_v4,high,"The Mavuso Sports Centre is located in the city of Manzini, Eswatini. Topographic data for this specific site indicates an elevation of approximately 625 metres above sea level."
"Netto Arena, Szczecin (POL)","Netto Arena, Szczecin",18,llm_gemini_v4,high,The arena is located in the Zawadzkie-Klonowica district of Szczecin at an elevation of approximately 18 meters above sea level.
Asmara (ERI),"Cicero Stadium, Asmara",2325,llm_gemini_v4,high,"Asmara is a high-altitude city; Cicero Stadium is the primary athletics venue in the capital, situated at approximately 2,325m above sea level."
Tiraspol (MDA),"Sheriff Stadium, Tiraspol",26,llm_gemini_v4,high,"The primary athletics venue in Tiraspol is the Sheriff Stadium complex, located in the lower Dniester river basin at approximately 26m above sea level."
Chittagong (BAN),"MA Aziz Stadium, Chittagong",12,llm_gemini_v4,high,MA Aziz Stadium is the primary athletics venue in Chittagong; the city is a coastal port with the stadium located at approximately 12m above sea level.
Schwechat (AUT),"Rudolf Tonn Stadion, Schwechat",162,llm_gemini_v4,high,The primary athletics venue in Schwechat is the Rudolf Tonn Stadion. The elevation is based on the topographical data for the Schwechat area near the Danube basin.
"Leonora Stadium, Leonora (GUY)","Leonora Stadium, Leonora",3,llm_gemini_v4,high,"The National Track and Field Centre in Leonora is located on the coastal plain of Guyana, which is notoriously low-lying and often below sea level at high tide; topographic data places this specific site at approximately 3 meters above sea level."
"Bezirkssportanlage Überruhr, Essen (GER)","Bezirkssportanlage Uberruhr, Essen",75,llm_gemini_v4,high,The venue is located in the Uberruhr-Hinsel district of Essen near the Ruhr river; topographic maps indicate an elevation of approximately 75 meters above sea level.
"Stade Fernand Bigot, Lillebonne (FRA)","Stade Fernand Bigot, Lillebonne",15,llm_gemini_v4,high,The stadium is located in the Seine valley floor of Lillebonne; topographic maps place this specific athletic facility at approximately 15m above sea level.
Arak (IRI),"Imam Khomeini Stadium, Arak",1755,llm_gemini_v4,high,"Arak is a high-altitude city in Iran; the primary athletics venue is the Imam Khomeini Stadium, situated at approximately 1755m above sea level."
Freetown (SLE),"Siaka Stevens Stadium, Freetown",10,llm_gemini_v4,high,"The primary athletics venue in Freetown is the Siaka Stevens Stadium, located in the coastal Brookfields district at approximately 10m above sea level."
"Stade Futurosport, Mouscron (BEL)","Stade Futurosport, Mouscron",25,llm_gemini_v4,high,"The venue is located in the Futurosport complex in Mouscron, which sits at an elevation of approximately 25 meters above sea level in the low-lying region of Hainaut."
"Olympic Stadium, Sydney (AUS)","Olympic Stadium, Sydney",18,llm_gemini_v4,high,"The venue, now known as Accor Stadium in Homebush Bay, is situated at an elevation of approximately 18 metres above sea level."
Olympia (GRE),"Ancient Stadium, Olympia",33,llm_gemini_v4,high,"The Ancient Stadium at Olympia, used for the shot put in 2004, is situated at approximately 33m above sea level in the Alfeios River valley."
Jaraguá (BRA),Jaragua do Sul,30,llm_gemini_v4,high,"Refers to the athletics facilities in Jaraguá do Sul, Santa Catarina. The city center and main sports complexes sit at approximately 30m above sea level."
Chirchik (UZB),"Chirchik Stadium, Chirchik",582,llm_gemini_v4,high,Chirchik is a major athletics hub in Uzbekistan; the central sports complex is located at an elevation of approximately 582m.
"Leichtathletik-Halle im Ahorn-Sportpark, Paderborn (GER)","Leichtathletik-Halle im Ahorn-Sportpark, Paderborn",110,llm_gemini_v4,high,"The Ahorn-Sportpark is located in the southern part of Paderborn; the city center is at 94m, while the specific site elevation for the sport park is recorded at approximately 110m."
"Athletics Stadium, Bambolim (IND)","Athletics Stadium, Bambolim",45,llm_gemini_v4,high,The venue is the Bambolim Athletic Stadium (also known as GMC Athletic Stadium) in Goa. Topographic data for this specific coastal plateau site in Bambolim indicates an elevation of approximately 45 metres.
"Koulumäen kenttä, Espoo (FIN)","Koulumaen Kentta, Espoo",18,llm_gemini_v4,high,"Topographic data for the Koulumäki sports field area in Espoo, Finland, indicates an elevation of approximately 18 meters above sea level."
"Pista de Atletismo Warlindo Carneiro Filho, Recifé (BRA)","Pista de Atletismo Warlindo Carneiro Filho, Recife",5,llm_gemini_v4,high,"The venue is located within the Santos Dumont Sports Complex in the Boa Viagem neighborhood of Recife, a coastal area situated at sea level."
Chandigarh (IND),"Sector 7 Stadium, Chandigarh",321,llm_gemini_v4,high,Chandigarh's primary athletics venue is the Sector 7 Sports Complex. The city sits at a mean elevation of approximately 321m above sea level.
"Děkanka, Praha (CZE)","Dekanka, Prague",225,llm_gemini_v4,high,The Dekanka athletics stadium is located in the Pankrac district of Prague; topographic maps and local geodata place this specific plateau at approximately 225m above sea level.
"Urheilukenttä, Laihia (FIN)","Urheilukentta, Laihia",26,llm_gemini_v4,high,"The Laihian urheilukenttä is located in the center of Laihia, Finland. Topographic data for this specific sports field indicates an elevation of approximately 26 meters above sea level."
"Egret Stadium, Xiamen (CHN)","Egret Stadium, Xiamen",5,llm_gemini_v4,high,The stadium is a coastal facility located on the Xiamen Olympic Sports Center site directly on the waterfront of the Xiang'an District.
"Krk waterfront, Krk (CRO)","Krk Waterfront, Krk",2,llm_gemini_v4,high,The venue is a street athletics setup located directly on the harbor/waterfront of the city of Krk at sea level.
"Värendsvallen, Växjö (SWE)","Varendsvallen, Vaxjo",165,llm_gemini_v4,high,Värendsvallen is located in the northern part of Växjö; topographic data for the stadium site indicates an elevation of approximately 165m above sea level.
"Heteniityn urheilukenttä, Helsinki (FIN)","Heteniityn Urheilukentta, Helsinki",5,llm_gemini_v4,high,"Located in the Vuosaari district of Helsinki, this coastal track sits at approximately 5 meters above sea level according to Finnish topographic data."
"Pista CEAT, Lajeado (BRA)","Pista CEAT, Lajeado",34,llm_gemini_v4,high,The CEAT (Colegio Evangelico Alberto Torres) sports complex in Lajeado is located near the Taquari River at an elevation of approximately 34 meters.
"Pista de Atletismo da Universidade Federal de Sergipe, São Cristovão (BRA)","Pista de Atletismo da Universidade Federal de Sergipe, Sao Cristovao",12,llm_gemini_v4,high,The UFS campus in Sao Cristovao is located in a low-lying coastal area of Sergipe; topographic data for the specific track coordinates indicates an elevation of approximately 12 meters.
Nanping (CHN),"Nanping City Stadium, Nanping",85,llm_gemini_v4,high,Nanping City Stadium is the primary athletics venue in the Yanping District; the city center sits at an elevation of approximately 80-90m along the Min River.
"Liikuntapuisto, Äänekoski (FIN)","Liikuntapuisto, Aanekoski",105,llm_gemini_v4,high,"The Äänekoski Liikuntapuisto is located at an elevation of approximately 105m, situated near the Keitele lake level (99m) in Central Finland."
"Thomas O. Berg Track, Washington, DC (USA)","Thomas O. Berg Track, Washington DC",15,llm_gemini_v4,high,Located at Gallaudet University; the campus elevation is approximately 15 meters above sea level.
"Sportanlage, Inneringen (GER)","Sportanlage, Inneringen",815,llm_gemini_v4,high,Inneringen is located on the Swabian Jura plateau; the local sports facility (Sportanlage) sits at an elevation of approximately 815m above sea level.
"Yongin Mireu Stadium, Gyeonggi-Do (KOR)","Yongin Mireu Stadium, Yongin",55,llm_gemini_v4,high,Located in the Samga-dong district of Yongin; topographic data for the stadium site indicates an elevation of approximately 55m above sea level.
"Campo Atletica Pietro Mennea, Cecina (ITA)","Campo Atletica Pietro Mennea, Cecina",10,llm_gemini_v4,high,"The venue is located in the coastal town of Cecina, Tuscany. Topographic data for the specific site on Via Aldo Moro indicates an elevation of approximately 10 meters above sea level."
Haifa (ISR),Haifa,25,llm_gemini_v4,medium,"The primary athletics venue in Haifa is the Neve Sha'anan Athletic Stadium, located at an elevation of approximately 25m. City elevation varies significantly due to Mount Carmel, but the track is in the lower coastal area."
"Kaustisen urheilutalo, Kaustinen (FIN)","Kaustisen Urheilutalo, Kaustinen",45,llm_gemini_v4,high,"The venue is an indoor sports hall located in the center of Kaustinen, Finland. Topographic data for this specific area of the Perhonjoki river valley indicates an elevation of approximately 45 meters above sea level."
"Centro Sportivo, Arco (ITA)","Centro Sportivo, Arco",91,llm_gemini_v4,high,The Centro Sportivo di Arco (Via Pomerio) is located in the town of Arco near Lake Garda; topographic data for this specific sports complex indicates an elevation of approximately 91 meters.
"Wurfplatz, Inzing (AUT)","Wurfplatz, Inzing",602,llm_gemini_v4,high,"The Wurfplatz in Inzing is a dedicated throwing facility located at approximately 602m above sea level, consistent with the Inn Valley floor elevation in this region of Tyrol."
"Stade Jean Balestas, St-Egreve (FRA)","Stade Jean Balestas, Saint-Egreve",205,llm_gemini_v4,high,"The stadium is located in the Isere department at a specific topographic elevation of approximately 205m, consistent with the Grésivaudan valley floor."
"Josef-Bestler-Stadion, Aichach (GER)","Josef-Bestler-Stadion, Aichach",448,llm_gemini_v4,high,The stadium is located in the Paar valley of Aichach; topographic data for the specific site at Schrobenhausener Strasse indicates an elevation of approximately 448m.
Bratislava (SVK),Bratislava,134,llm_gemini_v4,high,"The primary athletics venue in Bratislava is the Elan Indoor Athletics Hall or the Pasienky Stadium area, both situated at an elevation of approximately 134m."
"Municipal Theatre Of Piraeus, Piraeus (GRE)","Municipal Theatre Of Piraeus, Piraeus",3,llm_gemini_v4,high,"The venue is a historic building in the port city of Piraeus, located approximately 300 meters from the harbor at a very low coastal elevation."
"Nelson Mandela Stadium - Warm Up Track, Namboole (UGA)","Nelson Mandela Stadium Warm Up Track, Namboole",1145,llm_gemini_v4,high,"The Nelson Mandela National Stadium in Namboole, Kampala, is situated at an elevation of approximately 1145m above sea level."
Compiégne (FRA),Compiegne,35,llm_gemini_v4,high,"The primary athletics venue in Compiegne is the Stade Paul Petitpoisson, situated near the Oise river at an elevation of approximately 35m."
"Rosendal Stadion, Rosendal (NOR)","Rosendal Stadion, Rosendal",12,llm_gemini_v4,high,"The stadium is located in the coastal village of Rosendal, Norway, situated on the Hardangerfjord. Topographic data places the track surface at approximately 12 meters above sea level."
"Stade Intercommunal, Nemours (FRA)","Stade Intercommunal, Nemours",62,llm_gemini_v4,high,The Stade Intercommunal de Nemours is located on the banks of the Loing river; topographic data for this specific site in Nemours indicates an elevation of approximately 62m.
"CSU - Neta and Eddie DeRose Thunderbowl, Pueblo, CO (USA)","Neta and Eddie DeRose Thunderbowl, Pueblo",1424,llm_gemini_v4,high,"The stadium is located on the Colorado State University Pueblo campus; official topographical data for the Thunderbowl site indicates an elevation of approximately 4,672 feet."
"Stade René Hologne, Vesoul (FRA)","Stade Rene Hologne, Vesoul",220,llm_gemini_v4,high,The stadium is located in the lower part of Vesoul near the Durgeon river; topographic maps and local geographic data place this specific site at approximately 220m above sea level.
"Stade Municipal, Smarves (FRA)","Stade Municipal, Smarves",115,llm_gemini_v4,high,Smarves is a small commune in the Vienne department; the municipal stadium is located at approximately 115m above sea level based on topographic mapping of the Poitiers region.
"Univ. Community Stadium, Lethbridge (CAN)","University of Lethbridge Community Stadium, Lethbridge",910,llm_gemini_v4,high,"The stadium is located on the University of Lethbridge campus, which sits on the coulees of the Oldman River at an elevation of approximately 910m."
"Furudals IP, Villstad (SWE)","Furudals IP, Villstad",155,llm_gemini_v4,high,Furudals Idrottsplats is located in Villstad/Smålandsstenar; topographic data for this specific sports ground indicates an elevation of approximately 155m above sea level.
